Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
PRVDR_PRSCRBNG_PRVDR_NPI_NUM,varchar(10) character set latin not casespecific,VARCHAR(10) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(10),String
CLM_TYPE_GRP_DESC,varchar(16) character set latin not casespecific,VARCHAR(16) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(16),String
CLM_PRSCRBNG_LST7_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_LST30_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_LST120_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_LST180_DAY_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_YTD_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_ONE_YR_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_LAST_YR_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_24MON_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_36MON_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
CLM_PRSCRBNG_3YTD_AMT,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
LOAD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
PRVDR_CLM_TYPE_MAX_LOAD_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
OPI_LOAD_TS,timestamp(6),TIMESTAMP(6),"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,String
