Column Name,Data Type in Teradata Base Tables,Data Type in Teradata API_PRVDR_PROFILE View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
UCM_CASE_REC_ID,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
REC_TYPE_STUS_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
REC_TYPE_STUS_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
REC_TYPE_SUB_STUS_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
REC_TYPE_SUB_STUS_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
REC_TYPE_BEFORE_STUS_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
REC_TYPE_BEFORE_STUS_DESC,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_MGRTN_STUS,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
UCM_MGRTN_SUB_STUS,varchar(128) character set latin not casespecific,VARCHAR(128) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(128),String
OPEN_CLOSE_FLAG,varchar(5) character set latin not casespecific not null,VARCHAR(5) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,varchar(5),String
RGN_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
RGN_DESC,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
STATE_CD,char(2) character set latin not casespecific,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(2),String
STATE_DESC,varchar(32) character set latin not casespecific,VARCHAR(32) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(32),String
UPIC_JRSDCTN_CD,"decimal(5,0)",INTEGER,double,float,"decimal(5,0)",Float
UPIC_JRSDCTN_DESC,varchar(64) character set latin not casespecific,VARCHAR(64) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(64),String
