Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
BENE_SK,"decimal(18,0) not null",FLOAT,double,float,"decimal(18,0)",Float
BENE_BGN_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_END_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_HIC_NUM,char(12) character set latin not casespecific,CHAR(12) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(12),String
GEO_SK,integer,INTEGER,int32,float,int8,Int
BENE_CAN_NUM,char(9) character set latin not casespecific,CHAR(9) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(9),String
BENE_BIC_CD,char(2) character set latin not casespecific,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(2),String
BENE_BRTH_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_DEATH_DT,date format 'yyyy-mm-dd' compress ,CHAR(10),string,Date,date,String
BENE_AGE_CNT,integer,INTEGER,int32,float,int8,Int
BENE_LINK_KEY,integer,INTEGER,int32,float,int8,Int
BENE_INCRCRTN_EXCPTN_SW,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_RACE_CD,char(2) character set latin not casespecific,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(2),String
BENE_SEX_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_EQTBL_BIC_HICN_NUM,char(11) character set latin not casespecific,CHAR(11) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(11),String
BENE_EQTBL_BIC_CD,char(2) character set latin not casespecific,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(2),String
BENE_1ST_NAME,varchar(30) character set latin not casespecific not null,VARCHAR(30) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,varchar(30),String
BENE_LAST_NAME,varchar(40) character set latin not casespecific not null,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,varchar(40),String
BENE_MIDL_NAME,varchar(15) character set latin not casespecific,VARCHAR(15) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(15),String
BENE_PHNE_NUM,char(15) character set latin not casespecific compress ,CHAR(15) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ,string,String,char(15),String
BENE_RRB_NUM,char(12) character set latin not casespecific compress ,CHAR(12) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ,string,String,char(12),String
BENE_LINE_1_ADR,varchar(45) character set latin not casespecific,VARCHAR(45) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(45),String
BENE_LINE_2_ADR,varchar(45) character set latin not casespecific,VARCHAR(45) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(45),String
BENE_LINE_3_ADR,varchar(40) character set latin not casespecific,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(40),String
BENE_LINE_4_ADR,varchar(40) character set latin not casespecific,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(40),String
BENE_LINE_5_ADR,varchar(40) character set latin not casespecific,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(40),String
BENE_LINE_6_ADR,varchar(40) character set latin not casespecific,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(40),String
BENE_ADR_CITY_NAME,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
GEO_ZIP4_CD,char(4) character set latin not casespecific,CHAR(4) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(4),String
GEO_ZIP5_CD,char(5) character set latin not casespecific,CHAR(5) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(5),String
GEO_USPS_STATE_CD,char(2) character set latin not casespecific,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(2),String
BENE_VRFY_DEATH_DAY_SW,"char(1) character set latin not casespecific compress (' ','n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','N','Y')",string,String,char(1),String
BENE_DSTR_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_DOD_PROOF_CD,char(2) character set latin not casespecific,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(2),String
BENE_SSN_NUM,char(9) character set latin not casespecific not null,CHAR(9) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(9),String
BENE_MDCD_NUM,char(20) character set latin not casespecific,CHAR(20) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(20),String
BENE_MDCD_RCPNT_NUM,char(20) character set latin not casespecific,CHAR(20) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(20),String
BENE_PTA_TP_PRM_PYR_CD,char(3) character set latin not casespecific,CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(3),String
BENE_PTB_TP_PRM_PYR_CD,char(3) character set latin not casespecific,CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(3),String
BENE_MDCD_RCPNT_NUM_CHK_DGT,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_RP_NAME,varchar(40) character set latin not casespecific,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(40),String
BENE_RP_RSD_SW,"char(1) character set latin not casespecific compress (' ','n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','N','Y')",string,String,char(1),String
BENE_RP_SW,"char(1) character set latin not casespecific compress (' ','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','Y')",string,String,char(1),String
BENE_SSA_LANG_CD,"char(3) character set latin not casespecific compress ('   ','e  ','s  ')","CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('   ','E  ','S  ')",string,String,char(3),String
BENE_PSC_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
