Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
PRVDR_NPI_NUM,char(10),CHAR(10),,,,
CLM_PD_STUS_CD,char(1),CHAR(1),,,,
CLM_PD_STUS_CD_DESC,varchar(40),VARCHAR(40),,,,
PRVDR_CLM_SRVC_YEAR,integer,INTEGER,,,,
PRVDR_CLM_BENE_CNT,integer,INTEGER,,,,
PRVDR_CLM_BENE_PCT_CHG,"decimal(18,4)",FLOAT,,,,
PRVDR_CLM_CLM_CNT,integer,INTEGER,,,,
PRVDR_CLM_CLM_PCT_CHG,"decimal(18,4)",FLOAT,,,,
PRVDR_CLM_SRVC_UNIT_QTY_SUM,"decimal(18,4)",FLOAT,,,,
PRVDR_CLM_SRVC_UNIT_PCT_CHG,"decimal(18,4)",FLOAT,,,,
PRVDR_CLM_PMT_AMT_SUM,"decimal(18,2)",FLOAT,,,,
PRVDR_CLM_PMT_AMT_SUM_PCT_CHG,"decimal(18,4)",FLOAT,,,,
OPI_LOAD_TS,timestamp(6),TIMESTAMP(6),,,,
